水闸名称,经度,纬度,所在行政区,所在地点,所在河流,水闸孔数,闸孔净宽,闸底板高程,闸门顶高程,闸墩高程,排架高程,闸门型式,启闭机,启闭机型式,电机功率,设计标准
"渡口闸","121.08944","30.0497","菁江渡村","马渚镇菁江渡村","前场址河","1",2.5,,,"3.13","6.43","平板门","1","螺杆式","3",20
"大河堰排涝节制闸","121.06417","30.0672","庙前村","马渚镇庙前村","大河堰江","1",2.5,,,"3.4","7.93","平板门","1","螺杆式","3",20
"高车头闸","120.98167","30.0736","魏家村","牟山镇魏家村","湖舍江","1",3.0,,,"4.13","7.33","平板门","1","螺杆式","3kw",20
"马家池2#闸","120.9775","30.0725","新东吴村","牟山镇新东吴村","东吴江","1",2.6,,,"4.18","8.24","平板门","1","螺杆式","3kw",20
"内闸","121.00833","30.0933","青港村","牟山镇青港村","前朗岙江","1",3.0,,,"4.34","7.94","平板门","1","螺杆式","3kw",20
"毛家杜闸1","121.01111","30.0819","青港村","牟山镇青港村","毛杜江","1",3.0,,,"4.14","7.24","平板门","1","螺杆式","3kw",20
"张家闸","121.02306","30.0886","青港村","牟山镇青港村","青港江","1",3.0,,,"4.14","7.59","平板门","1","螺杆式","3kw",20
"毛家杜闸2","121.00778","30.0814","青港村","牟山镇青港村","毛杜江","1",2.9,,,"4.24","6.44","平板门","1","螺杆式","3kw",20
"杜家闸","121.00889","30.0856","青港村","牟山镇青港村","毛杜江","1",3.0,,,"4.34","7.69","平板门","1","螺杆式","3kw",20
"朱家浦闸","121.251","30.018","丈亭村","丈亭镇丈亭村","朱家浦","1",3.6,,,"3.4","6.1","平板式","1","螺杆式","4",10
"沈家闸","121.268","30.001","丈亭村","丈亭镇丈亭村","翁沈家河","1",2.5,,,"3.58","7.28","平板式","1","螺杆式","3",20
"下齐塔闸","121.251000","30.018000","丈亭村","丈亭镇丈亭村","赵家浦","1",3.0,,,"3.6","7.4","平板式","1","螺杆式","3",20
"张家桥闸","121.251000","30.017000","丈亭村","丈亭镇丈亭村","汇龙浦","1",3.0,,,"3.2","9.4","平板式","1","螺杆式","3",20
"赵家闸","121.251","30.017","丈亭村","丈亭镇丈亭村","赵家浦","1",2.7,,,"2.8","7.2","平板式","1","螺杆式","3",20
"陈家外江闸","121.269000","30.001000","丈亭村","丈亭镇丈亭村","陈家河","1",3.0,,,"3.15","6.75","平板式","1","螺杆式","3",20
"陈家内江闸","121.268","30.001","丈亭村","丈亭镇丈亭村","陈家河","/",2.5,,,"3.05","6.85","平板式","/","手摇式","/",10
"施家河腰闸","121.3","30.001","丈亭村","丈亭镇丈亭村","丈亭江塘河","/",2.8,,,"2.45","5.35","平板式","/","手摇式","/",10
"顾家埠腰闸","121.284","30.001","胡界村","丈亭镇胡界村","丈亭江塘河","/",2.8,,,"2.45","5.05","平板式","/","手摇式","/",20
"胡界闸","121.284","30.001","胡界村","丈亭镇胡界村","胡界河","1",3.0,,,"2.36","6.76","平板式","1","螺杆式","3",20
"顾家埠闸","121.285","30.001","胡界村","丈亭镇胡界村","顾家埠河","1",3.0,,,"2.96","6.46","平板式","1","螺杆式","3",20
"柳家闸","121.301","30.001","胡界村","丈亭镇胡界村","钟家河","1",2.5,,,"3.06","7.56","平板式","1","螺杆式","3",10
"潺子浦闸","121.301","30.001","胡界村","丈亭镇胡界村","潺子浦","2",4.0,,,"3.16","6.66","平板式","2","螺杆式","4",20
"柯家闸","121.301","30.001","凤东村","丈亭镇凤东村","白水洋河","1",2.5,,,"3.47","7.07","平板式","1","螺杆式","3",20
"官墩闸","121.301","30.034","凤东村","丈亭镇凤东村","丈亭沿山渠","/",3.0,,,"3","6","平板式","/","手摇式","/",10
"周家山闸","121.301","30.018","凤东村","丈亭镇凤东村","东浦河","/",2.5,,,"2.6","5.8","平板式","/","手摇式","/",10
"任家闸","121.301","30.018","凤东村","丈亭镇凤东村","陆家横河","1",3.0,,,"3.8","7.1","平板式","1","螺杆式","3",20
"桂家浦闸","121.267","30.018","渔溪村","丈亭镇渔溪村","桂家浦","1",3.0,,,"3.73","无","平板式","1","螺杆式","3",20
"陆家闸","121.284","30.018","渔溪村","丈亭镇渔溪村","陆家横河","1",3.0,,,"3","6.7","平板式","1","螺杆式","3",20
"渔溪小闸","121.283","30.018","渔溪村","丈亭镇渔溪村","油车浦","/",2.0,,,"3","5.7","平板式","/","手摇式","/",10
"渔溪闸","121.284","30.018","渔溪村","丈亭镇渔溪村","陆家横河","1",4.0,,,"2.6","无","升卧式","1","卷扬机","4",10
"上钱家埠闸","121.252","30.035","渔溪村","丈亭镇渔溪村","上钱家埠河","/",3.0,,,"2","4.3","平板式","/","手摇式","/",20
"寺前王水库节制闸","121.268","30.034","寺前王村","丈亭镇寺前王村","寺前王大溪","1",4.0,,,"8","10","平板式","1","螺杆式","4",10
"青草河闸","121.069","30.084","汇头村","丈亭镇汇头村","青草河","/",3.0,,,"2","4.3","平板式","/","手摇式","/",20
"龙山浦腰闸","121.25","30.017","汇头村","丈亭镇汇头村","龙山浦","1",2.5,,,"3.73","8.33","平板式","1","螺杆式","3",20
"汇龙庵闸","121.251","30.018","汇龙村","丈亭镇汇龙村","汇龙浦","1",3.0,,,"2.25","4.55","平板式","1","螺杆式","3",20
"沙江头闸","121.251","30.035","汇龙村","丈亭镇汇龙村","沙江头河","/",3.0,,,"2","4.3","平板式","/","手摇式","/",20
"蜀山西闸","121.218","30.018","龙南村","丈亭镇龙南村","应王铁路河","/",2.5,,,"2.85","6.85","平板式","/","手摇式","/",20
"庙山头河腰闸","121.234","30.017","龙南村","丈亭镇龙南村","庙山头河","/",2.4,,,"2.55","6.55","平板式","/","手摇式","/",20
"旦山河闸","121.251","30.017","龙南村","丈亭镇龙南村","旦山河","/",2.0,,,"2.15","3.95","平板式","/","手摇式","/",20
"应王腰闸","121.234","30.017","龙南村","丈亭镇龙南村","应王横河","1",3.0,,,"2.05","5.05","平板式","1","螺杆式","3",20
"平湖闸","121.234","30.034","龙丰村","丈亭镇龙丰村","西上横河","2",3.0,,,"4.13","6.53","平板式","2","螺杆式","3",20
"友谊闸","121.234","30.034","龙丰村","丈亭镇龙丰村","西上横河","1",3.0,,,"3.6","7","平板式","1","螺杆式","3",20
"沿山渠闸","121.218","30.036","龙丰村","丈亭镇龙丰村","杨凌沿山渠","1",2.0,,,"2.85","5.95","平板式","1","螺杆式","3",20
"杨凌闸","121.218","30.034","龙丰村","丈亭镇龙丰村","杨凌河","1",3.0,,,"3.55","8.15","平板式","1","螺杆式","3",20
"马家浦闸","121.218","30.018","龙丰村","丈亭镇龙丰村","马家浦河","2",3.0,,,"2.85","6.85","平板式","2","螺杆式","3",20
"澎王浦大闸","121.32222","30.00194","三七市村","三七市镇三七市村","澎王浦","2",4.5,,,"3.2","7.6","平板式","2","螺杆式","4",10
